Country,Region,Population,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars
Kazakhstan,C.W. OF IND. STATES,15233244,"5,6",29.21,6300
Kenya,SUB-SAHARAN AFRICA,34707817,"59,6",61.47,1000
Kiribati,OCEANIA,105432,"130,0",48.52,800
"Korea, North",ASIA (EX. NEAR EAST),23113019,"191,8",24.04,1300
"Korea, South",ASIA (EX. NEAR EAST),48846823,"496,0",7.05,17800
Kuwait,NEAR EAST,2418393,"135,7",9.95,19000
Kyrgyzstan,C.W. OF IND. STATES,5213898,"26,3",35.64,1600
Laos,ASIA (EX. NEAR EAST),6368481,"26,9",85.22,
Latvia,BALTICS,2274735,"35,2",9.55,10200
Lebanon,NEAR EAST,3874050,"372,5",24.52,4800
Lesotho,SUB-SAHARAN AFRICA,2022331,"66,6",84.23,3000
Liberia,SUB-SAHARAN AFRICA,3042004,"27,3",128.87,1000
Libya,NORTHERN AFRICA,5900754,"3,4",24.6,6400
Liechtenstein,WESTERN EUROPE,33987,"212,4",4.7,25000
Lithuania,BALTICS,3585906,"55,0",6.89,11400
Luxembourg,WESTERN EUROPE,474413,"183,5",4.81,55100
Macau,ASIA (EX. NEAR EAST),453125,"16183,0",4.39,19400
Macedonia,EASTERN EUROPE,2050554,"80,9",10.09,6700
Madagascar,SUB-SAHARAN AFRICA,18595469,"31,7",76.83,800
Malawi,SUB-SAHARAN AFRICA,13013926,"109,8",103.32,600
Malaysia,ASIA (EX. NEAR EAST),24385858,,17.7,9000
Maldives,ASIA (EX. NEAR EAST),359008,"1196,7",56.52,3900
Mali,SUB-SAHARAN AFRICA,11716829,"9,5",116.79,900
Malta,WESTERN EUROPE,400214,"1266,5",3.89,17700
Marshall Islands,OCEANIA,60422,"5,1",29.45,1600
Martinique,LATIN AMER. & CARIB,436131,"396,5",7.09,14400
Mauritania,SUB-SAHARAN AFRICA,3177388,"3,1",70.89,1800
Mauritius,SUB-SAHARAN AFRICA,1240827,"608,3",15.03,11400
Mayotte,SUB-SAHARAN AFRICA,201234,"538,1",62.4,2600
Mexico,LATIN AMER. & CARIB,107449525,"54,5",20.91,9000
"Micronesia, Fed. St.",OCEANIA,108004,"153,9",30.21,2000
Moldova,C.W. OF IND. STATES,4466706,"132,0",40.42,1800
Monaco,WESTERN EUROPE,32543,"16271,5",5.43,27000
Mongolia,ASIA (EX. NEAR EAST),2832224,"1,8",53.79,1800
Montserrat,LATIN AMER. & CARIB,9439,"92,5",7.35,3400
Morocco,NORTHERN AFRICA,33241259,"74,4",41.62,4000
Mozambique,SUB-SAHARAN AFRICA,19686505,"24,6",130.79,1200
Namibia,SUB-SAHARAN AFRICA,2044147,"2,5",48.98,7200
Nauru,OCEANIA,13287,"632,7",9.95,5000
Nepal,ASIA (EX. NEAR EAST),28287147,"192,2",66.98,1400
Netherlands,WESTERN EUROPE,16491461,"397,1",5.04,28600
Netherlands Antilles,LATIN AMER. & CARIB,221736,"231,0",10.03,11400
